Year Week,destination_state,Index YOY Change-Search-Hotel
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Georgia,-0.01310112
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Alabama,-0.052298179
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",California,-0.042440752
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Florida,-0.12132982
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Colorado,-0.18786825
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Connecticut,0.040880702
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Arizona,-0.001603674
"Feb 17, 2020 to Feb 23, 2020 (Week 8)",Delaware,0.034236326
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Arizona,-0.087478389
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Alabama,-0.080231129
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Delaware,-0.0237964
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Colorado,-0.227469082
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Connecticut,0.002725572
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Alaska,-0.158174308
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Georgia,0.005818722
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",California,-0.139004918
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Arkansas,0.029875774
"Feb 24, 2020 to Mar 1, 2020 (Week 9)",Florida,-0.184809747
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Alabama,-0.130056988
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",Florida,-0.257999657
"Mar 2, 2020 to Mar 8, 2020 (Week 10)",California,-0.284583275
